case_id,shape,dtype,approximate,value_range,status,accuracy_passed,elapsed_us,reference_us,speedup,previous_high_level_us,previous_high_level_passed,historical_low_level_us,route,tile,unroll,vf_fusion,implementation,job_url,vector_blocks,ub_bytes,reuse_alloc,static_alloc_requested,static_alloc_effective
level1/gelu_1,"[1024, 1024]",float16,none,"[-1, 1]",success,True,11.87,4.49,0.3782645324347094,23.39,True,13.35,promoted-exact-erf,8192,2,False,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,98304,1,None,True
level1/gelu_2,"[2048, 2048]",float32,none,"[-2, 2]",success,True,132.81,15.37,0.1157292372562307,81.62,True,38.99,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
level1/gelu_3,"[4096, 4096]",bfloat16,none,"[-3, 3]",success,True,147.81,30.14,0.20391042554630945,331.7,True,152.0,promoted-exact-erf,8192,2,False,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,98304,1,None,True
level1/gelu_4,"[8192, 8192]",float16,tanh,"[-10, 10]",success,True,206.08,172.93,0.8391401397515528,1639.7,True,185.75,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_5,"[8192, 8192]",float32,tanh,"[-100, 100]",success,True,339.39,387.265,1.1410619051828281,1256.37,True,351.02,corrected-tanh,15872,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,253952,1,None,True
level1/gelu_6,"[1023, 1023]",bfloat16,tanh,"[-0.1, 0.1]",success,True,5.84,4.46,0.7636986301369864,27.76,True,5.31,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_7,"[1009, 1021]",float16,none,"[-1, 2]",success,True,11.91,4.45,0.37363560033585225,23.53,True,13.41,promoted-exact-erf,8192,2,False,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,98304,1,None,True
level1/gelu_8,"[1537, 769]",float32,tanh,"[-5, 10]",success,True,8.75,6.11,0.6982857142857143,24.3,True,6.91,corrected-tanh,15872,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,253952,1,None,True
level1/gelu_9,"[363, 367, 373]",bfloat16,none,"[-50, 100]",success,True,433.1,117.53,0.2713691987993535,993.31,True,442.58,promoted-exact-erf,8192,2,False,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,98304,1,None,True
level1/gelu_10,"[2049, 513]",float16,tanh,"[-65504, 65504]",success,True,5.88,4.56,0.7755102040816326,27.69,True,5.47,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_11,"[3, 7, 13, 4001]",float32,none,"[-88, 88]",success,True,37.27,6.05,0.16232895089884625,,False,13.34,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
level1/gelu_12,[1000003],bfloat16,tanh,"[-inf, inf]",success,True,5.88,4.38,0.7448979591836735,26.74,True,5.39,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_13,"[11, 13, 17, 67, 67]",float32,none,"[nan, nan]",success,True,342.52,37.455,0.10935127875744483,209.85,True,96.24,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
level1/gelu_14,"[3, 7, 11, 13, 1009]",float16,tanh,"[0, 0]",success,True,11.94,7.78,0.6515912897822446,75.65,True,10.09,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_15,"[512, 2049]",float32,none,"[-0.5, 0.5]",success,True,36.47,5.98,0.16397038661913904,22.93,True,13.38,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
level1/gelu_16,"[255, 8193]",bfloat16,none,"[-1, 3]",success,True,22.48,6.23,0.277135231316726,43.91,True,24.09,promoted-exact-erf,8192,2,False,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,98304,1,None,True
level1/gelu_17,"[4097, 511]",float16,tanh,"[-1000, 1000]",success,True,9.23,6.31,0.6836403033586131,52.43,True,7.82,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_18,"[2, 511, 2049]",float32,none,"[-0.2, 0.2]",success,True,68.77,8.86,0.1288352479278755,42.25,True,23.14,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
level1/gelu_19,"[4, 255, 2049]",bfloat16,tanh,"[-3, 6]",success,True,9.21,6.26,0.6796959826275787,52.52,True,7.67,corrected-tanh,8192,2,False,candidate/gelu.py#L37,https://cannbench.com/workspace/jobs/job_6589259af036,72,131072,1,None,True
level1/gelu_20,"[2, 3, 17, 1024, 101]",float32,none,"[-20, 40]",success,True,331.09,36.195,0.10932072850282401,,False,91.22,fp32-exact-tail,1024,1,True,candidate/gelu.py#L43,https://cannbench.com/workspace/jobs/job_6589259af036,72,49152,1,None,True
